"Mortality rate, infant (per 1,000 live births)"
"56","Kuwait","15.1","..","12.5","..","11.0","..","10.1","..","9.2","..","8.9","..","8.5","..","8.2","..","7.8","..","7.5","..","7.2",".."
"122","Kyrgyzstan","54.3","..","50.6","..","42.1","..","34.2","..","26.1","..","24.6","..","23.2","..","22.0","..","20.9","..","19.9","..","18.8",".."
"139","Lao People's Democratic Republic","110.7","..","96.6","..","82.5","..","69.6","..","58.5","..","56.7","..","55.0","..","53.5","..","51.9","..","50.4","..","48.9",".."
"41","Latvia","13.1","..","15.7","..","11.5","..","8.7","..","6.6","..","6.2","..","5.7","..","5.2","..","4.7","..","4.3","..","3.9",".."
"80","Lebanon","27.1","..","21.8","..","17.1","..","12.2","..","8.8","..","8.4","..","8.0","..","7.7","..","7.4","..","7.2","..","6.9",".."
"159","Lesotho","73.1","..","75.2","..","80.2","..","82.5","..","75.3","..","73.2","..","75.0","..","75.2","..","74.5","..","74.5","..","72.4",".."
"181","Liberia","172.0","..","160.1","..","124.3","..","87.9","..","65.2","..","62.2","..","59.4","..","57.0","..","54.8","..","52.9","..","51.2",".."
"108","Libya","35.8","..","28.6","..","24.2","..","19.8","..","14.2","..","13.9","..","12.9","..","12.4","..","11.9","..","11.5","..","11.0",".."
"35","Lithuania","11.8","..","11.9","..","8.5","..","7.2","..","4.9","..","4.4","..","4.1","..","3.9","..","3.9","..","4.1","..","4.3",".."
"21","Luxembourg","7.3","..","5.2","..","3.8","..","2.9","..","2.3","..","2.3","..","2.2","..","2.1","..","2.1","..","2.1","..","2.0",".."
"161","Madagascar","97.4","..","85.1","..","68.8","..","54.3","..","43.1","..","41.2","..","39.3","..","37.8","..","36.4","..","35.2","..","34.0",".."
"171","Malawi","136.6","..","116.1","..","103.4","..","70.2","..","57.4","..","53.2","..","49.6","..","46.2","..","43.4","..","40.9","..","38.9",".."
"57","Malaysia","14.3","..","11.5","..","8.7","..","7.0","..","6.8","..","6.8","..","6.8","..","6.9","..","6.9","..","7.0","..","7.1",".."
"101","Maldives","68.1","..","52.9","..","35.0","..","19.2","..","11.3","..","10.3","..","9.5","..","8.7","..","8.2","..","7.7","..","7.3",".."
"182","Mali","130.1","..","124.1","..","115.5","..","94.9","..","79.5","..","77.2","..","75.1","..","73.2","..","71.4","..","69.6","..","68.0",".."
